location_id,observed_at,temperature_mean_3h,temperature_current,temperature_target_3h,target_observed_at
47.479347_8.217992,1789391915000,24.173333333333332,25.5,24.86,1789402785000
47.479347_8.217992,1789393596000,25.01,25.67,21.66,1789404634000
47.479347_8.217992,1789394171000,25.038333333333338,25.83,21.66,1789404634000
47.479347_8.217992,1789394209000,25.06555555555556,25.86,21.66,1789404634000
47.479347_8.217992,1789394824000,25.081666666666667,26.06,23.38,1789406271000
47.479347_8.217992,1789396716000,25.373333333333335,25.89,21.25,1789408339000
47.479347_8.217992,1789398954000,25.51133333333333,25.86,20.36,1789410377000
47.479347_8.217992,1789400935000,25.785,25.23,19.98,1789412184000
47.479347_8.217992,1789402785000,25.653333333333336,24.86,19.26,1789414134000
47.479347_8.217992,1789404634000,25.438333333333333,21.66,18.19,1789416015000
47.479347_8.217992,1789406271000,24.788333333333338,23.38,17.56,1789417904000
47.479347_8.217992,1789408339000,24.061666666666667,21.25,17.16,1789419703000
47.479347_8.217992,1789410377000,22.938333333333333,20.36,16.8,1789421733000
47.479347_8.217992,1789412184000,21.978333333333335,19.98,16.69,1789423465000
47.479347_8.217992,1789414134000,21.10166666666667,19.26,16.22,1789425280000
47.479347_8.217992,1789416015000,20.581666666666667,18.19,16.09,1789427094000
47.479347_8.217992,1789417904000,19.53833333333333,17.56,15.65,1789429486000
47.479347_8.217992,1789419703000,18.81833333333333,17.16,15.45,1789431461000
47.479347_8.217992,1789421733000,18.218333333333334,16.8,15.31,1789433055000
47.479347_8.217992,1789423465000,17.628333333333334,16.69,15.12,1789435155000
47.479347_8.217992,1789425280000,17.26,16.22,15.12,1789435155000
47.479347_8.217992,1789427094000,16.775000000000002,16.09,14.87,1789437385000
47.479347_8.217992,1789429486000,16.508333333333336,15.65,15.32,1789439305000
47.479347_8.217992,1789431461000,16.183333333333334,15.45,14.49,1789443020000
47.479347_8.217992,1789433055000,16.031666666666666,15.31,14.49,1789443020000
47.479347_8.217992,1789435155000,15.671666666666667,15.12,14.37,1789444917000
47.479347_8.217992,1789437385000,15.456666666666665,14.87,13.78,1789447237000
47.479347_8.217992,1789439305000,15.211666666666666,15.32,13.56,1789451013000
47.479347_8.217992,1789441329000,15.231666666666667,14.75,14.76,1789453076000
47.479347_8.217992,1789443020000,15.020000000000001,14.49,14.76,1789453076000
47.479347_8.217992,1789444917000,14.978333333333333,14.37,16.24,1789455065000
47.479347_8.217992,1789447237000,14.695,13.78,18.88,1789458805000
47.479347_8.217992,1789449173000,14.415,13.53,19.71,1789460565000
47.479347_8.217992,1789451013000,14.075000000000001,13.56,21.24,1789462985000
47.479347_8.217992,1789453076000,13.881666666666668,14.76,21.24,1789462985000
47.479347_8.217992,1789455065000,14.126666666666665,16.24,22.49,1789464985000
47.479347_8.217992,1789457018000,14.684999999999997,16.94,23.99,1789468558000
47.479347_8.217992,1789458805000,15.328333333333333,18.88,24.82,1789470373000
47.479347_8.217992,1789460565000,16.103333333333335,19.71,24.82,1789470373000
47.479347_8.217992,1789462985000,17.706666666666667,21.24,26.01,1789472781000
47.479347_8.217992,1789464985000,19.041666666666668,22.49,27.25,1789475054000
47.479347_8.217992,1789466951000,20.291666666666668,23.31,27.67,1789477261000
47.479347_8.217992,1789468558000,21.145,23.99,27.69,1789478726000
47.479347_8.217992,1789470373000,22.205000000000002,24.82,28.31,1789481259000
47.479347_8.217992,1789472781000,23.445000000000004,26.01,28.34,1789482952000
47.479347_8.217992,1789475054000,24.438333333333333,27.25,28.92,1789484830000
47.479347_8.217992,1789477261000,25.438333333333333,27.67,27.65,1789487195000
47.479347_8.217992,1789478726000,26.235000000000003,27.69,28.09,1789489505000
47.479347_8.217992,1789484830000,27.825000000000003,28.92,22.42,1789495828000
